`Q_no`,`Question`,`Option1`,`Option2`,`Option3`,`Option4`,`Solution`,`Remarks`
`1`,`How many digits of the DNIC (Data Network Identification Code) identify the country?`,`first three`,`first four`,`first five`,`first six`,`2`,`Op3 is right because..`
`2`,`A station in a network forwards incoming packets by placing them on its shortest output queue. What routing algorithm is being used?`,`hot potato routing`,`flooding`,`static routing`,`delta routing`,`3`,`Op3 is right because..`
`3`,`The probability that a single bit will be in error on a typical public telephone line using 4800 bps modem is 10 to the power -3. If no error detection mechanism is used, the residual error rate for a communication line using 9-bit frames is approximately equal to`,`0.003`,`0.009`,`0.991`,`0.999`,`2`,`Op3 is right because..`
`4`,`Question 4Frames from one LAN can be transmitted to another LAN via the device`,`Router`,`Bridge`,`Repeater`,`Modem`,`3`,`Op3 is right because..`
`5`,`Which of the following condition is used to transmit two packets over a medium at the same time?`,`Contention`,`Collision`,`Synchronous`,`Asynchronous`,`2`,`Op3 is right because..`
`6`,`You have a class A network address 10.0.0.0 with 40 subnets, but are required to add 60 new subnets very soon. You would like to still allow for the largest possible number of host IDs per subnet. Which subnet mask should you assign?`,`255.240.0.0`,`255.248.0.0`,`255.252.0.0`,`255.254.0.0`,`3`,`Op3 is right because..`
`7`,`What are the most commonly used transmission speeds in BPS used in data communication?`,`300`,`1200`,`2400`,`9600`,`2`,`Op3 is right because..`
`8`,`What is the default subnet mask for a class C network?`,`127.0.0.1`,`255.0.0.0`,`255.255.0.0`,`255.255.255.0`,`3`,`Op3 is right because..`
`9`,`Which of the following is used for modulation and demodulation?`,`modem`,`protocols`,`gateway`,`multiplexer`,`2`,`Op3 is right because..`
`10`,`Which of the following is not a disadvantage of wireless LAN?`,`Slower data transmission`,`higher error rate`,`interference of transmissions from different computers`,`All of the above`,`3`,`Op3 is right because..`
